diner,location,date,time,gender,friends,attention,devices,frequency,duration,talk,food,interval
1,pines,12.05,14:29,F,g,device,phone,less,short,yes,less,long
2,pines,12.05,14:31,F,n,device,phone,much,long,no,less,long
3,pines,12.05,14:33,M,n,device,phone,much,long,no,much,long
4,pines,12.05,14:35,M,n,device,phone,much,long,no,less,long
5,pines,12.05,14:37,M,n,device,laptop,much,long,no,less,short
6,pines,12.05,14:40,M,n,device,phone,much,long,no,less,short
7,pines,12.05,14:42,F,p,front,phone,much,long,yes,less,long
8,pines,12.05,14:44,M,p,scan,phone,much,long,yes,much,long
9,pines,12.05,14:46,M,n,device,laptop,much,long,no,less,long
10,pines,12.05,14:48,M,p,device,phone,much,long,yes,less,long
11,pines,12.05,14:50,F,p,front,phone,less,short,yes,less,short
12,pines,12.05,14:52,M,p,front,phone,less,short,yes,less,short
13,pines,12.05,14:54,M,n,food,no,no,no,no,less,short
14,pines,12.05,14:56,M,n,device,phone,much,long,no,less,long
15,pines,12.05,14:58,F,p,food,phone,less,short,yes,less,long
16,pines,12.05,15:00,M,n,device,phone,much,long,no,less,long
17,pines,12.05,15:02,F,p,front,phone,less,short,yes,less,long
18,pines,12.05,15:04,M,p,food,no,no,no,yes,less,short
19,pines,12.05,15:06,M,n,scan,phone,no,no,no,less,short
20,pines,12.05,15:08,F,n,device,phone,much,long,no,less,short
21,pines,12.05,15:10,M,p,food,phone,no,no,yes,less,short
22,pines,12.05,15:12,M,p,front,no,no,no,yes,less,short
23,pines,12.05,15:14,M,n,device,phone,much,long,no,less,short
24,pines,12.05,15:16,M,n,food,no,no,no,no,less,short
25,pines,12.05,15:18,M,p,front,phone,less,short,yes,less,short
26,bistro,12.05,17:30,F,n,device,phone,much,long,no,less,short
27,bistro,12.05,17:33,M,n,device,phone,less,short,no,less,short
28,bistro,12.05,17:35,F,p,front,no,no,no,yes,less,short
29,bistro,12.05,17:37,F,p,food,phone,no,no,yes,much,long
30,bistro,12.05,17:39,M,g,device,phone,less,short,yes,less,short
31,bistro,12.05,17:41,M,n,device,phone,less,short,no,less,short
32,bistro,12.05,17:43,M,n,front,no,no,no,no,less,long
33,bistro,12.05,17:44,M,n,food,no,no,no,no,less,short
34,bistro,12.05,17:46,F,n,scan,phone,no,no,no,less,short
35,bistro,12.05,17:48,F,p,scan,phone,less,short,yes,less,short
36,bistro,12.05,17:50,F,p,front,no,no,no,yes,less,short
37,bistro,12.05,17:53,F,p,food,phone,no,no,yes,less,short
38,bistro,12.05,17:55,F,p,food,no,no,no,yes,less,short
39,bistro,12.05,17:56,M,n,device,phone,much,long,no,less,short
40,bistro,12.05,17:58,M,n,device,laptop,much,long,no,less,long
41,bistro,12.05,18:00,F,n,device,laptop,much,long,no,less,short
42,bistro,12.05,18:02,M,p,food,no,no,no,yes,less,long
43,bistro,12.05,18:04,M,g,food,phone,less,short,yes,less,short
44,bistro,12.05,18:06,F,n,food,phone,less,short,no,less,short
45,bistro,12.05,18:08,F,n,device,laptop,much,long,no,less,short
46,bistro,12.05,18:10,M,n,device,laptop,much,long,no,less,short
47,bistro,12.05,18:13,M,p,front,no,no,no,yes,less,short
48,bistro,12.05,18:14,F,n,device,laptop,much,long,no,less,short
49,bistro,12.05,18:16,M,n,device,laptop,much,long,no,less,short
50,bistro,12.05,18:18,F,n,food,phone,less,short,no,less,long
51,bistro,12.05,18:20,M,g,food,phone,less,short,yes,less,long
